Species	BAN001.A0101.SG1.1_10M	BAN001.A0102.SG1.4_10M	CDM019.A0101.SG1.1_10M	CDM019.A0102.SG1.4_10M	CDM020.A0101.SG1.1_10M	CDM020.A0102.SG1.4_10M	FUM001.A0101.SG1.1_10M	FUM001.A0102.SG1.4_10M	FUM002.A0101.SG1.1_10M	FUM002.A0102.SG1.5_10M	FUM003.A0101.SG1.1_10M	FUM003.A0102.SG1.4_10M	GDN001.A0101.SG1.1_10M	GDN001.A0102.SG1.3_10M	GOY005.A0101.SG1.2_10M	GOY005.A0103.SG1.4_10M	GOY006.A0101.SG1.2_10M	GOY006.A0102.SG1.5_10M	GUE001.A0101.SG1.1_10M	GUE001.A0102.SG1.4_10M	PES001.B0101.SG1.3_10M	PES001.B0102.SG1.5_10M	SPM002.A0101.SG1.1_10M	SPM002.A0103.SG1.4_10M	VLD001.A0101.SG1.1_10M	VLD001.A0102.SG1.2_10M	ZAF001.A0101.SG1.1_10M	ZAF001.A0103.SG1.4_10M
Nanoperiomorbus sp905365345	0	0	4610	4073	906	811	203	24	22	24	0	0	56	22	43	20	88	45	0	0	854	563	0	0	1235	493	0	0
Nanoperiomorbus sp905372225	0	0	4459	4325	882	789	111	17	34	21	0	0	52	23	31	11	74	44	0	0	765	487	0	0	1109	426	0	0
Nanoperiomorbus sp905373275	0	0	4427	3932	909	807	89	25	21	14	0	0	52	14	41	12	60	32	0	0	726	516	0	0	1113	399	0	0
Nanoperiomorbus sp905373385	0	0	5085	4767	1029	970	102	31	21	19	0	0	19	19	33	17	77	44	0	0	815	633	0	0	1192	464	0	0
Nanosynbacter lyticus	0	0	1033	951	1110	1039	237	42	760	577	566	256	1341	367	951	392	2371	1382	0	0	448	306	0	0	188	65	0	0
Nanosynbacter sp005697215	0	0	1408	1218	2105	1648	167	32	484	298	92	32	1132	320	212	61	467	224	0	0	376	255	0	0	156	55	0	0
Nanosynbacter sp005697565	0	0	684	551	1360	1119	146	30	4493	3437	438	228	679	256	656	192	1086	570	0	0	1296	856	0	0	102	50	0	0
Nanosynbacter sp010202115	0	0	1311	1095	1920	1347	183	20	506	325	110	58	807	217	320	107	523	243	0	0	489	271	0	0	100	36	0	0
Nanosynbacter sp010202465	0	0	952	881	1358	1081	118	17	382	252	100	45	732	161	170	59	376	177	0	0	281	187	0	0	92	34	0	0
Nanosynbacter sp010202645	0	0	1712	1240	2129	1687	115	24	412	244	90	26	906	221	212	57	528	193	0	0	422	228	0	0	120	55	0	0
Nanosynbacter sp010202845	0	0	1551	1076	2301	1745	179	27	450	244	100	35	1215	307	224	58	490	219	0	0	356	227	0	0	131	49	0	0
Nanosynbacter sp013099015	0	0	1794	1426	2673	2211	146	24	495	344	138	49	860	243	271	89	562	233	0	0	557	288	0	0	479	157	0	0
Nanosynbacter sp013099195	0	0	1235	1012	1825	1548	175	20	495	334	112	24	1040	274	248	74	515	261	0	0	379	251	0	0	152	48	0	0
Nanosynbacter sp013100805	0	0	1529	1111	2333	1908	194	23	411	252	91	31	863	293	196	67	461	222	0	0	426	284	0	0	135	56	0	0
Nanosynbacter sp013100825	0	0	727	610	1352	1036	162	22	504	271	101	37	795	172	208	43	451	201	0	0	362	202	0	0	115	47	10	0
Nanosynbacter sp013333695	0	0	1383	1081	2036	1690	158	21	332	203	91	32	969	273	191	47	441	243	0	0	393	225	0	0	129	48	0	0
Nanosynbacter sp015257635	0	0	262	304	198	219	0	0	44	32	0	0	62	13	15	0	39	23	0	0	15	0	0	0	18	0	21	0
Nanosynbacter sp905372305	0	0	19292	19190	7151	6718	1330	193	1207	763	199	70	16963	5188	506	169	2786	1320	0	0	2516	1749	0	0	2280	890	24	0
Nanosynbacter sp905372835	0	0	991	808	1329	1170	174	30	5142	3600	567	211	752	248	704	223	1199	631	0	0	1467	1065	0	0	130	48	0	0
