gc_bin,counts_gc,Study
"(36,37]",72570,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(37,38]",80611,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(38,39]",91348,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(39,40]",121102,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(40,41]",93645,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(41,42]",118939,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(42,43]",131303,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(43,44]",149428,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(44,45]",156856,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(45,46]",153819,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(46,47]",176141,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(47,48]",196827,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(48,49]",208499,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(49,50]",306251,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(50,51]",113964,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(51,52]",270924,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(52,53]",253265,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(53,54]",288442,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(54,55]",287144,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(55,56]",319632,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(56,57]",324422,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(57,58]",361012,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(58,59]",339604,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(59,60]",443806,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(60,61]",326723,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(61,62]",399901,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(62,63]",358730,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(63,64]",401764,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(64,65]",378084,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(65,66]",364824,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(66,67]",302006,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(67,68]",329592,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(68,69]",280427,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(69,70]",287385,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(70,71]",200218,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(71,72]",220129,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
