gc_bin,counts_gc,Study
"(59,60]",590565,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(60,61]",553496,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(61,62]",504949,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(62,63]",284,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(63,64]",449715,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(64,65]",388902,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(65,66]",331056,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(66,67]",177,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(67,68]",274612,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(68,69]",224466,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(69,70]",178382,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(70,71]",98,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(71,72]",140069,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(72,73]",108619,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(73,74]",81937,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(74,75]",60801,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(75,76]",31,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(76,77]",44262,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(77,78]",31020,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(78,79]",20374,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(79,80]",14,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(80,81]",12879,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(81,82]",7432,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(82,83]",3697,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(83,84]",1,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(84,85]",1636,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(85,86]",689,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(86,87]",374,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(87,88]",1,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(88,89]",233,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(89,90]",166,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(90,91]",141,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(92,93]",150,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(93,94]",463,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(94,95]",366,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(96,97]",176,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(97,98]",161,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(98,99]",901,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(99,100]",475,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(1,2]",2,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(2,3]",3,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(3,4]",12,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(5,6]",27,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(6,7]",72,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(7,8]",123,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(9,10]",241,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(10,11]",451,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(11,12]",766,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(13,14]",1247,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(14,15]",1889,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(15,16]",2781,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(16,17]",2,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(17,18]",3987,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(18,19]",5653,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(19,20]",7729,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(20,21]",7,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(21,22]",10319,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(22,23]",13956,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(23,24]",18173,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(24,25]",23112,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(25,26]",10,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(26,27]",29660,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(27,28]",37158,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(28,29]",46396,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(29,30]",18,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(30,31]",57533,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(31,32]",70855,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(32,33]",87195,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(33,34]",36,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(34,35]",107345,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(35,36]",131445,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(36,37]",160121,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(37,38]",58,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(38,39]",194547,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(39,40]",235334,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(40,41]",282672,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(41,42]",107,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(42,43]",334227,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(43,44]",381726,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(44,45]",431671,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(45,46]",149,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(46,47]",481825,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(47,48]",534289,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(48,49]",586323,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(49,50]",632844,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(50,51]",264,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(51,52]",661479,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(52,53]",664389,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(53,54]",634367,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(54,55]",223,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(55,56]",581875,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(56,57]",507728,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(57,58]",432289,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(58,59]",149,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(59,60]",360110,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(60,61]",293534,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(61,62]",233801,CDM019.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
