Species,BAN001.A0101.SG1.1_5M,BAN001.A0102.SG1.4_5M,CDM019.A0101.SG1.1_5M,CDM019.A0102.SG1.4_5M,CDM020.A0101.SG1.1_5M,CDM020.A0102.SG1.4_5M,FUM002.A0101.SG1.1_5M,FUM002.A0102.SG1.5_5M,FUM003.A0101.SG1.1_5M,FUM003.A0102.SG1.4_5M,GDN001.A0101.SG1.1_5M,GDN001.A0102.SG1.3_5M,GOY005.A0101.SG1.2_5M,GOY005.A0103.SG1.4_5M,GOY006.A0101.SG1.2_5M,GOY006.A0102.SG1.5_5M,PES001.B0101.SG1.3_5M,PES001.B0102.SG1.5_5M,VLD001.A0101.SG1.1_5M,VLD001.A0102.SG1.2_5M
Nanosynbacter sp005697215,0,0,722,709,1110,1031,288,257,44,57,683,493,116,74,374,240,183,205,100,63
Nanosynbacter sp005697565,0,0,339,358,730,701,2627,3100,266,292,401,382,358,226,789,565,626,681,67,62
Nanosynbacter sp010202115,0,0,659,661,1008,852,305,313,59,77,435,356,183,116,386,243,243,209,62,61
Nanosynbacter sp010202465,0,0,503,489,692,632,225,232,64,54,424,249,97,64,272,176,157,152,71,60
Nanosynbacter sp010202645,0,0,856,686,1101,1011,247,207,58,44,543,373,132,72,345,205,176,169,87,93
Nanosynbacter sp010202845,0,0,762,665,1172,1067,253,216,54,54,691,472,134,76,339,244,173,177,89,73
Nanosynbacter sp013099015,0,0,890,924,1345,1298,293,274,69,58,490,382,174,96,394,244,255,219,343,233
Nanosynbacter sp013099195,0,0,638,588,945,931,264,299,64,42,580,416,163,78,405,267,178,185,102,80
Nanosynbacter sp013100805,0,0,761,731,1167,1174,257,239,46,59,521,400,115,69,333,233,178,194,86,85
Nanosynbacter sp013100825,0,0,381,360,673,617,302,248,63,57,474,313,121,60,341,204,173,162,73,67
Nanosynbacter sp013333695,0,0,724,618,1052,1000,169,162,53,39,514,416,121,57,327,242,189,169,80,70
Nanosynbacter sp015257635,0,0,129,163,93,122,28,33,0,0,41,20,0,0,28,22,10,10,15,11
Nanosynbacter sp905372305,0,0,9760,11409,3652,4107,655,728,116,102,9793,8144,312,209,2064,1375,1235,1259,1569,1341
Nanosynbacter sp905372835,0,0,528,489,634,650,2906,3230,296,277,439,389,408,247,867,614,707,745,84,59
Nanosynbacter sp905373315,0,0,191,163,265,285,3280,3718,312,299,167,117,432,264,818,616,746,791,51,38
Nanosynbacter sp905373795,0,0,10046,11497,3845,4267,564,618,83,81,8950,7121,262,150,1724,1144,1027,1150,1472,1394
Neisseria elongata,0,0,114,124,4533,3444,1065,1176,194,171,0,0,6592,2974,1320,913,470,366,0,0
Neisseria lactamica,0,0,15,13,395,337,53,50,0,10,0,0,765,626,166,120,176,192,0,0
Neisseria mucosa,0,0,19,13,851,826,81,131,33,16,0,0,993,703,226,200,220,213,10,0
Neisseria sicca,0,0,44,40,2432,2302,275,395,80,71,0,0,3446,2713,639,689,821,877,10,0
Neisseria sp000090875,0,0,196,180,2403,2129,57,53,16,28,0,0,1789,1311,236,204,651,655,0,0
Neisseria sp000227275,0,0,0,0,120,125,25,33,0,0,0,0,281,201,51,47,56,69,0,0
Olsenella F profusa,0,0,105,69,73,31,24,17,18,0,155,35,0,0,18,11,88,45,307,115
Olsenella F sp001189515,0,0,174730,103978,89015,53127,8351,4842,34,29,38418,15133,1883,672,4738,1818,23667,16185,103555,40079
Olsenella uli,0,0,1557,764,131,72,20,0,0,0,109,45,0,0,0,0,39,29,192,74
Oribacterium sp000160135,0,0,132,115,88,106,0,12,0,0,0,11,0,0,0,12,91,116,0,10
Oribacterium sp013394775,0,0,1192,1756,175,278,0,0,0,0,0,17,0,0,16,11,20,16,0,0
Ottowia sp001262075,0,0,3968,2050,133488,69777,33,19,84,69,25,0,398,148,3951,2158,642,474,0,0
Ottowia sp003859965,0,0,18,0,167,98,79,36,206,174,30,0,991,228,613,243,128,73,0,10
Parvimonas micra,0,0,704,2665,234,760,63,268,19,75,25,43,69,225,278,631,25,93,0,19
Parvimonas sp000214475,0,0,91,345,70,226,88,301,29,84,20,33,132,411,384,936,25,103,0,0
