Length,counts_length,Study
96,32940,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
97,32620,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
98,31371,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
99,30880,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
100,30515,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
101,28403,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
102,27988,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
103,27024,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
104,26470,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
105,26018,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
106,25622,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
107,24676,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
108,23924,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
109,23633,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
110,22673,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
111,22195,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
112,21828,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
113,21005,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
114,20874,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
115,19754,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
116,18963,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
117,18741,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
118,18380,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
119,17626,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
120,17519,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
121,16879,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
122,16128,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
123,16058,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
124,15375,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
125,15004,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
126,14461,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
127,14455,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
128,13427,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
129,13468,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
130,13016,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
131,12592,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
132,12160,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
133,12064,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
134,11606,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
135,11187,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
136,10968,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
137,10732,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
138,10360,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
139,9785,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
140,9898,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
141,8588,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
36,39843,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
