Species	BAN001.A0101.SG1.1	BAN001.A0102.SG1.4	CDM019.A0101.SG1.1	CDM019.A0102.SG1.4	CDM020.A0101.SG1.1	CDM020.A0102.SG1.4	FUM001.A0101.SG1.1	FUM001.A0102.SG1.4	FUM002.A0101.SG1.1	FUM002.A0102.SG1.5	FUM003.A0101.SG1.1	FUM003.A0102.SG1.4	GDN001.A0101.SG1.1	GDN001.A0102.SG1.3	GOY005.A0101.SG1.2	GOY005.A0103.SG1.4	GOY006.A0101.SG1.2	GOY006.A0102.SG1.5	GUE001.A0101.SG1.1	GUE001.A0102.SG1.4	PES001.B0101.SG1.3	PES001.B0102.SG1.5	SPM002.A0101.SG1.1	SPM002.A0103.SG1.4	VLD001.A0101.SG1.1	VLD001.A0102.SG1.2	ZAF001.A0101.SG1.1	ZAF001.A0103.SG1.4
Fusobacterium periodonticum	0	11	78	688	107	1065	63	29	36	110	35	89	0	0	5215	4117	1270	1308	0	0	140	196	0	0	0	12	115	102
Fusobacterium polymorphum	0	0	246	2077	448	3836	50	30	59	111	34	66	113	171	2565	2081	965	1118	0	0	179	228	0	0	0	21	88	67
Fusobacterium pseudoperiodonticum	0	0	20	153	37	238	0	10	0	26	0	23	0	0	964	674	261	238	0	0	38	30	0	0	0	0	49	51
Fusobacterium sp000235465	0	0	53	469	53	412	0	21	19	53	14	37	0	0	1975	1575	523	546	0	0	52	90	0	0	0	0	14	15
Fusobacterium vincentii	0	0	120	925	93	961	33	54	19	52	44	36	0	10	1124	941	447	520	0	0	83	107	0	13	0	0	29	32
GN02-872 sp003260325	0	0	0	64	1673	14641	0	0	18	61	0	0	0	0	188	110	28	29	0	0	0	0	0	0	0	0	0	0
GN02-873 sp003260345	0	0	0	22	535	2370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella morbillorum	0	24	136	1036	2764	22988	997	400	1764	4367	51	84	14	38	11872	7661	28509	20088	0	0	12276	8661	0	0	47	63	140	114
Gemella sanguinis	11	42	0	18	30	276	123	66	26	74	29	26	0	0	227	159	646	401	0	0	332	209	0	0	0	20	646	495
Granulicatella adiacens	0	0	25	150	497	2793	49	26	98	186	34	33	0	12	998	450	331	187	15	0	763	449	12	0	19	28	159	71
Granulicatella sp905371865	0	0	21	73	300	1488	0	0	96	140	0	14	0	0	478	260	154	97	0	0	408	220	0	0	0	0	30	0
H1 sp001653155	0	0	2154	6029	2927	10587	171	66	1040	1437	13	15	632	422	6931	2217	2219	1112	0	0	7123	3225	0	0	315	315	0	0
HOT-345 sp003260355	0	0	265	1133	1238	6169	114	44	117	245	36	30	0	0	295	134	373	236	0	0	138	100	0	0	0	17	0	0
HOT-345 sp013333605	0	0	21	104	804	4670	0	0	23	35	50	67	0	0	783	433	368	275	0	0	50	33	0	0	0	0	0	0
Hornefia minuta	0	0	88564	252728	22856	82341	1440	517	5872	6807	271	202	70474	42409	10920	3482	37987	15462	0	0	170564	59930	0	0	23720	24626	0	13
JABCPE02 sp013333255	0	0	36	191	705	3596	478	276	504	926	7526	6096	0	0	19363	7032	2428	1302	0	0	9324	4354	0	0	0	14	33	29
JABCPE02 sp013333875	0	0	35	159	754	4350	745	392	775	1266	10014	8667	40	25	27136	10229	3499	1860	0	0	12786	6175	0	0	0	17	22	14
Johnsonella ignava	0	0	6500	45137	7882	52009	20990	6984	1755	2810	206	156	1252	1441	40713	13887	70181	35107	0	0	104988	53150	0	0	378	560	89	189
Johnsonella sp905373785	0	0	843	4745	5730	35033	414	162	812	1405	48	58	0	23	3500	1242	9177	4312	0	0	5193	2785	0	0	31	51	0	0
Kingella A denitrificans	0	0	22	46	601	1272	71	15	135	124	50	23	0	0	6628	1186	893	252	0	0	518	109	0	0	17	0	20	0
Lachnoanaerobaculum gingivalis	0	0	74	398	248	1466	0	11	125	299	19	15	13	35	370	145	265	166	0	0	362	292	0	0	0	0	0	0
Lachnoanaerobaculum saburreum	0	0	170	1100	435	2745	73	42	56	144	12	14	66	70	402	192	430	242	0	0	524	252	0	0	0	12	162	88
Lachnoanaerobaculum sp000209465	0	0	386	2358	5737	32497	38	26	565	1251	23	42	45	48	3006	1550	1081	721	0	0	1100	689	0	0	18	27	15	0
Lachnoanaerobaculum sp000287675	0	0	67	460	116	859	10	15	37	92	12	11	60	59	191	115	193	121	0	0	161	112	0	0	0	0	28	10
Lautropia dentalis	35	20	49	53	1104	1577	112	14	121	73	286	92	15	0	11342	1290	1799	333	0	0	3067	650	0	0	16	0	286	47
Lautropia mirabilis	16	12	2825	2952	72037	97433	721	117	3475	2217	1513	736	38	0	310152	33805	53237	10539	55	0	111384	21318	74	22	104	59	245	36
Leptotrichia A sp000469505	0	0	25	172	524	3961	0	17	82	173	16	11	0	0	4366	2799	856	701	0	0	481	390	0	0	11	13	109	70
Leptotrichia A sp001274535	0	0	62	551	6041	39745	49	31	240	578	50	86	32	66	29862	18465	4702	3578	0	0	2843	2536	0	0	15	13	79	36
Leptotrichia A sp905371725	0	0	28	186	2347	15108	45	18	82	200	19	17	0	0	7315	4544	1428	1183	0	0	702	663	0	0	0	0	44	25
Leptotrichia buccalis	0	0	1631	9425	1250	7908	0	15	0	24	0	0	19	0	807	525	318	260	0	0	408	332	0	0	14	11	22	34
Leptotrichia hofstadii	0	0	129	621	281	1613	0	0	0	13	0	0	0	0	801	585	116	103	0	0	91	84	0	0	0	0	23	14
Leptotrichia massiliensis	0	0	136	829	978	6317	20	11	61	95	11	0	0	0	2347	1676	266	239	0	0	187	162	0	0	0	11	39	30
Leptotrichia sp013394795	0	0	214	1197	152	1068	11	0	0	13	0	0	0	0	475	290	69	72	0	0	105	73	0	0	0	0	0	10
Mesocricetibacter sp905373425	0	0	54	116	2376	9794	1223	329	1748	2484	4088	3536	0	0	86890	28415	20601	9426	0	0	5921	2685	0	0	0	13	15	14
Methanobrevibacter A oralis	0	0	250	3042	276	2982	2496	1507	1529	3407	226	183	41555	42553	1660	1026	21029	15610	0	0	34356	23116	0	0	3885	7215	19	45
Mogibacterium diversum	0	0	35	151	15	76	171	61	126	216	48	37	12	11	924	307	3839	1583	0	0	794	368	0	0	25	28	52	47
Mogibacterium pumilum	0	0	334	1257	99	430	725	281	1168	1860	295	194	81	116	4339	1405	18583	7357	0	0	2536	1166	0	0	126	143	0	0
Mogibacterium timidum	0	0	236	1217	113	869	47	27	145	234	25	27	81	76	386	161	1432	621	0	0	526	255	0	0	34	51	74	26
Nanoperiomorbus periodonticus	0	0	4766	10649	813	2586	122	46	35	43	0	0	93	39	147	44	301	89	0	0	3348	1079	0	0	1133	897	0	0
Nanoperiomorbus sp013333515	0	0	5145	11693	920	2671	259	69	100	91	0	0	140	86	203	49	455	137	0	0	4329	1350	0	0	2232	1696	0	0
Nanoperiomorbus sp905365345	0	0	5234	11756	920	2674	311	71	48	49	0	0	101	63	211	43	404	111	0	0	4408	1282	0	0	1457	1217	0	0
Nanoperiomorbus sp905372225	0	0	5159	12402	895	2567	180	46	56	48	0	0	90	49	173	33	308	102	0	0	3908	1165	0	0	1296	1080	0	0
Nanoperiomorbus sp905373275	0	0	5022	11187	926	2627	149	71	36	42	0	0	95	49	186	48	291	100	0	0	3843	1144	0	0	1277	942	0	0
Nanoperiomorbus sp905373385	0	0	5848	13781	1058	3134	186	67	42	49	0	0	39	45	215	54	378	108	0	0	4407	1494	0	0	1408	1182	0	0
Nanosynbacter lyticus	0	0	1163	2784	1135	3355	381	94	1565	1418	976	636	2275	936	4835	1079	11916	3475	0	0	2351	674	0	0	230	200	0	0
Nanosynbacter sp005697215	0	0	1633	3412	2136	5461	280	65	954	728	173	90	1962	793	1046	168	2454	587	0	0	1938	569	0	0	177	126	0	0
Nanosynbacter sp005697565	0	0	765	1605	1384	3777	240	65	8860	8277	799	531	1179	581	3246	582	5561	1443	0	0	7008	2072	0	0	117	97	13	0
